id,filename,class,source,source_url,source_id,license,author,date_captured,date_fetched,original_resolution,md5,notes
inaturalist_61395_351877006_642190988,data/raw/inaturalist/sano/61395_351877006_642190988.jpg,sano,inaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/642190988/original.jpg,61395:351877006:642190988,CC-BY-NC-4.0,"(c) Hayden Pack, some rights reserved (CC BY-NC)",2025-10-01,2026-05-10T03:26:00Z,945x2048,ed949de3d1070be22930e5bad1b31432,
inaturalist_61395_349717298_637997101,data/raw/inaturalist/sano/61395_349717298_637997101.jpg,sano,inaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/637997101/original.jpg,61395:349717298:637997101,CC-BY-NC-4.0,"(c) 🍄Myco-Mingo🦩, some rights reserved (CC BY-NC)",2026-04-13,2026-05-10T03:26:01Z,2048x1536,b57434e76f32c29ac2426693f0ead1d9,
inaturalist_61395_349717298_637997132,data/raw/inaturalist/sano/61395_349717298_637997132.jpg,sano,inaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/637997132/original.jpg,61395:349717298:637997132,CC-BY-NC-4.0,"(c) 🍄Myco-Mingo🦩, some rights reserved (CC BY-NC)",2026-04-13,2026-05-10T03:26:02Z,1536x2048,2c1bc9771741220fde1cc56efbc67553,
inaturalist_352596_248493430_444015459,data/raw/inaturalist/moho_verde/352596_248493430_444015459.jpg,moho_verde,inaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/444015459/original.jpeg,352596:248493430:444015459,CC-BY-NC-4.0,"(c) Kevin Young, some rights reserved (CC BY-NC)",2024-10-21,2026-05-10T03:26:04Z,1542x2048,edde1e76cc7c201d3b16a95a5dd354d4,
inaturalist_352596_195493751_343938420,data/raw/inaturalist/moho_verde/352596_195493751_343938420.jpg,moho_verde,inaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/343938420/original.jpg,352596:195493751:343938420,CC0-1.0,no rights reserved,2024-01-01,2026-05-10T03:26:05Z,1640x2048,cfcf53267fd6a1f5563e424dfbe31e0d,
inaturalist_352596_195493751_344340067,data/raw/inaturalist/moho_verde/352596_195493751_344340067.jpg,moho_verde,inaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/344340067/original.jpg,352596:195493751:344340067,CC0-1.0,no rights reserved,2024-01-01,2026-05-10T03:26:06Z,2048x1474,c66fa43b5f1b9372d911448fdb3b9a6e,
gbif_5243447_6184979626_0,data/raw/gbif/sano/5243447_6184979626_0.jpg,sano,gbif,https://inaturalist-open-data.s3.amazonaws.com/photos/610344839/original.jpg,5243447:6184979626:0,CC-BY-NC-4.0,kusiai,2026-01-23T13:37:42,2026-05-10T03:26:53Z,1536x2048,dc77c6039ad1a4b63046f2850d148420,Mexico
gbif_5243447_6184979626_1,data/raw/gbif/sano/5243447_6184979626_1.jpg,sano,gbif,https://inaturalist-open-data.s3.amazonaws.com/photos/610344848/original.jpg,5243447:6184979626:1,CC-BY-NC-4.0,kusiai,2026-01-23T13:37:42,2026-05-10T03:26:54Z,1536x2048,964a005377f7ecaae4a94209d6d46ed6,Mexico
gbif_5243447_6234925369_0,data/raw/gbif/sano/5243447_6234925369_0.jpg,sano,gbif,https://inaturalist-open-data.s3.amazonaws.com/photos/637997101/original.jpg,5243447:6234925369:0,CC-BY-NC-4.0,🍄Myco-Mingo🦩,2026-04-13T15:57:04,2026-05-10T03:26:55Z,2048x1536,b57434e76f32c29ac2426693f0ead1d9,United States of America
inaturalist_61395_349717298_637997163,data/raw/inaturalist/sano/61395_349717298_637997163.jpg,sano,inaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/637997163/original.jpg,61395:349717298:637997163,CC-BY-NC-4.0,"(c) 🍄Myco-Mingo🦩, some rights reserved (CC BY-NC)",2026-04-13,2026-05-10T03:26:18Z,1536x2048,b9736363f67ef9f4940126397bd748a0,
