id,filename,class,source,source_url,source_id,license,author,date_captured,date_fetched,original_resolution,md5,notes
inaturalist_61395_351877006_642190988,data/processed/sano/inaturalist_61395_351877006_642190988.jpg,sano,inaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/642190988/original.jpg,61395:351877006:642190988,CC-BY-NC-4.0,"(c) Hayden Pack, some rights reserved (CC BY-NC)",2025-10-01,2026-05-10T03:26:00Z,945x2048,ed949de3d1070be22930e5bad1b31432, | processed:472x1024
inaturalist_61395_349717298_637997101,data/processed/sano/inaturalist_61395_349717298_637997101.jpg,sano,inaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/637997101/original.jpg,61395:349717298:637997101,CC-BY-NC-4.0,"(c) 🍄Myco-Mingo🦩, some rights reserved (CC BY-NC)",2026-04-13,2026-05-10T03:26:01Z,2048x1536,b57434e76f32c29ac2426693f0ead1d9, | processed:1024x768
inaturalist_61395_349717298_637997132,data/processed/sano/inaturalist_61395_349717298_637997132.jpg,sano,inaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/637997132/original.jpg,61395:349717298:637997132,CC-BY-NC-4.0,"(c) 🍄Myco-Mingo🦩, some rights reserved (CC BY-NC)",2026-04-13,2026-05-10T03:26:02Z,1536x2048,2c1bc9771741220fde1cc56efbc67553, | processed:768x1024
gbif_5243447_6184979626_0,data/processed/sano/gbif_5243447_6184979626_0.jpg,sano,gbif,https://inaturalist-open-data.s3.amazonaws.com/photos/610344839/original.jpg,5243447:6184979626:0,CC-BY-NC-4.0,kusiai,2026-01-23T13:37:42,2026-05-10T03:26:53Z,1536x2048,dc77c6039ad1a4b63046f2850d148420,Mexico | processed:768x1024
gbif_5243447_6184979626_1,data/processed/sano/gbif_5243447_6184979626_1.jpg,sano,gbif,https://inaturalist-open-data.s3.amazonaws.com/photos/610344848/original.jpg,5243447:6184979626:1,CC-BY-NC-4.0,kusiai,2026-01-23T13:37:42,2026-05-10T03:26:54Z,1536x2048,964a005377f7ecaae4a94209d6d46ed6,Mexico | processed:768x1024
inaturalist_61395_349717298_637997163,data/processed/sano/inaturalist_61395_349717298_637997163.jpg,sano,inaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/637997163/original.jpg,61395:349717298:637997163,CC-BY-NC-4.0,"(c) 🍄Myco-Mingo🦩, some rights reserved (CC BY-NC)",2026-04-13,2026-05-10T03:26:18Z,1536x2048,b9736363f67ef9f4940126397bd748a0, | processed:768x1024
inaturalist_61395_349717298_637997151,data/processed/sano/inaturalist_61395_349717298_637997151.jpg,sano,inaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/637997151/original.jpg,61395:349717298:637997151,CC-BY-NC-4.0,"(c) 🍄Myco-Mingo🦩, some rights reserved (CC BY-NC)",2026-04-13,2026-05-10T03:26:19Z,2048x1536,45b55340c9bf2587b68c737f055c7290, | processed:1024x768
inaturalist_61395_349717298_637997167,data/processed/sano/inaturalist_61395_349717298_637997167.jpg,sano,inaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/637997167/original.jpg,61395:349717298:637997167,CC-BY-NC-4.0,"(c) 🍄Myco-Mingo🦩, some rights reserved (CC BY-NC)",2026-04-13,2026-05-10T03:26:20Z,2048x1536,c0a10fefec27350ff45d739d7980e1f6, | processed:1024x768
inaturalist_61395_326765074_591873089,data/processed/sano/inaturalist_61395_326765074_591873089.jpg,sano,inaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/591873089/original.jpg,61395:326765074:591873089,CC-BY-NC-4.0,"(c) toniconca, some rights reserved (CC BY-NC)",2025-11-16,2026-05-10T03:26:23Z,2048x1536,00dae05e68c69e87610406309aa1f50f, | processed:1024x768
inaturalist_61395_324351802_587043256,data/processed/sano/inaturalist_61395_324351802_587043256.jpg,sano,inaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/587043256/original.jpg,61395:324351802:587043256,CC-BY-NC-4.0,"(c) lars_henrik_hansen, some rights reserved (CC BY-NC)",2025-11-01,2026-05-10T03:26:24Z,1152x2048,8235bae11256af97e0160884b717e547, | processed:576x1024
inaturalist_61395_322622378_583665763,data/processed/sano/inaturalist_61395_322622378_583665763.jpg,sano,inaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/583665763/original.jpg,61395:322622378:583665763,CC-BY-NC-4.0,"(c) Angel Emmanuel Romero, some rights reserved (CC BY-NC)",2025-10-23,2026-05-10T03:26:25Z,1152x2048,97851f7bccc7d27ee5850d33035a77d5, | processed:576x1024
inaturalist_61395_322622378_583665765,data/processed/sano/inaturalist_61395_322622378_583665765.jpg,sano,inaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/583665765/original.jpg,61395:322622378:583665765,CC-BY-NC-4.0,"(c) Angel Emmanuel Romero, some rights reserved (CC BY-NC)",2025-10-23,2026-05-10T03:26:26Z,2048x1536,7c3fb6bd2c530bf3322bdf20d07ee311, | processed:1024x768
inaturalist_61395_322622378_583665758,data/processed/sano/inaturalist_61395_322622378_583665758.jpg,sano,inaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/583665758/original.jpg,61395:322622378:583665758,CC-BY-NC-4.0,"(c) Angel Emmanuel Romero, some rights reserved (CC BY-NC)",2025-10-23,2026-05-10T03:26:27Z,2048x1536,36614f5c9eab2a244154fe805012ad15, | processed:1024x768
inaturalist_61395_312216482_563675972,data/processed/sano/inaturalist_61395_312216482_563675972.jpg,sano,inaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/563675972/original.jpg,61395:312216482:563675972,CC-BY-NC-4.0,"(c) James Chelin, some rights reserved (CC BY-NC)",2025-09-06,2026-05-10T03:26:28Z,1542x2048,c8491d833503ebbf06d905931190cf15, | processed:771x1024
inaturalist_61395_312216482_563676020,data/processed/sano/inaturalist_61395_312216482_563676020.jpg,sano,inaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/563676020/original.jpg,61395:312216482:563676020,CC-BY-NC-4.0,"(c) James Chelin, some rights reserved (CC BY-NC)",2025-09-06,2026-05-10T03:26:29Z,2048x1542,d54cef3db54571c52df365742d6b8c9f, | processed:1024x771
inaturalist_61395_312216482_563676109,data/processed/sano/inaturalist_61395_312216482_563676109.jpg,sano,inaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/563676109/original.jpg,61395:312216482:563676109,CC-BY-NC-4.0,"(c) James Chelin, some rights reserved (CC BY-NC)",2025-09-06,2026-05-10T03:26:30Z,1542x2048,9783bca7f496b947ab68883e2fe36a97, | processed:771x1024
